"Date","Price","Open","High","Low","Vol.","Change %"
"06/29/2023","152.530","153.275","153.790","152.580","","-0.40%"
"06/28/2023","153.140","153.945","153.980","153.040","","-0.44%"
"06/27/2023","153.810","153.230","154.180","153.120","","0.50%"
"06/26/2023","153.040","153.040","153.385","152.910","","0.14%"
"06/23/2023","152.830","153.835","153.870","152.245","","-0.57%"
"06/22/2023","153.710","154.140","154.605","153.730","","-0.19%"
"06/21/2023","154.000","153.070","154.210","152.700","","0.71%"
"06/20/2023","152.920","153.085","153.475","152.705","","-0.02%"
"06/19/2023","152.950","153.295","153.365","152.750","","-0.11%"
"06/16/2023","153.120","153.115","153.705","152.885","","0.09%"
"06/15/2023","152.980","151.295","153.240","150.935","","1.18%"
"06/14/2023","151.200","150.710","151.780","150.275","","0.41%"
"06/13/2023","150.590","149.970","151.160","149.965","","0.46%"
"06/12/2023","149.900","149.865","150.500","149.590","","0.13%"
"06/09/2023","149.710","150.140","150.330","149.735","","-0.21%"
"06/08/2023","150.020","148.875","150.215","148.830","","0.86%"
"06/07/2023","148.740","148.515","149.455","148.320","","0.22%"
"06/06/2023","148.420","148.815","149.140","148.080","","-0.17%"
"06/05/2023","148.680","148.685","148.950","148.100","","0.13%"
"06/02/2023","148.490","149.175","149.565","148.580","","-0.36%"
"06/01/2023","149.030","148.165","149.260","147.760","","0.68%"
"05/31/2023","148.030","148.635","148.650","147.395","","-0.31%"
"05/30/2023","148.490","148.245","148.850","147.800","","0.26%"
"05/29/2023","148.100","148.395","148.690","148.040","","-0.11%"
"05/26/2023","148.260","148.285","148.890","148.010","","0.08%"
"05/25/2023","148.140","148.455","148.560","148.075","","-0.12%"
"05/24/2023","148.320","148.655","149.285","148.405","","-0.13%"
"05/23/2023","148.520","148.990","149.160","148.430","","-0.24%"
"05/22/2023","148.870","148.690","149.265","148.510","","0.30%"
"05/19/2023","148.420","148.100","149.050","147.940","","0.30%"
"05/18/2023","147.970","148.725","148.980","147.980","","-0.42%"
"05/17/2023","148.600","149.080","149.250","148.310","","-0.24%"
"05/16/2023","148.960","149.085","149.655","148.710","","0.01%"
"05/15/2023","148.950","148.725","149.320","148.570","","0.30%"
"05/12/2023","148.510","149.420","149.780","148.610","","-0.54%"
"05/11/2023","149.320","150.165","150.405","149.210","","-0.48%"
"05/10/2023","150.040","149.835","150.570","149.675","","0.22%"
"05/09/2023","149.710","150.340","150.470","149.560","","-0.33%"
"05/08/2023","150.200","150.545","151.005","150.250","","-0.02%"
"05/05/2023","150.230","150.255","150.830","149.640","","0.07%"
"05/04/2023","150.130","150.640","151.275","149.900","","-0.25%"
"05/03/2023","150.510","149.760","151.080","149.660","","0.57%"
"05/02/2023","149.660","149.235","149.885","148.970","","0.34%"
"05/01/2023","149.150","150.080","150.115","149.100","","-0.41%"
"04/28/2023","149.760","149.885","150.220","149.090","","0.01%"
"04/27/2023","149.750","150.005","150.350","149.380","","-0.08%"
"04/26/2023","149.870","148.890","150.735","148.810","","0.73%"
"04/25/2023","148.780","149.615","149.940","148.770","","-0.44%"
"04/24/2023","149.440","148.765","149.685","148.385","","0.57%"
"04/21/2023","148.600","148.480","148.810","148.045","","0.18%"
"04/20/2023","148.330","148.125","148.760","147.970","","0.23%"
"04/19/2023","147.990","148.125","148.450","147.460","","0.00%"
"04/18/2023","147.990","147.200","148.280","147.090","","0.59%"
"04/17/2023","147.120","147.870","148.180","146.990","","-0.51%"
"04/14/2023","147.880","148.420","148.975","147.630","","-0.27%"
"04/13/2023","148.280","147.185","148.760","146.960","","0.85%"
"04/12/2023","147.030","145.825","147.305","145.820","","0.90%"
"04/11/2023","145.720","145.130","146.105","145.045","","0.52%"
"04/10/2023","144.970","145.635","145.865","144.700","","-0.34%"
"04/07/2023","145.470","145.915","145.965","145.310","","-0.23%"
"04/06/2023","145.800","145.255","146.140","144.975","","0.43%"
"04/05/2023","145.170","145.560","146.390","145.060","","-0.19%"
"04/04/2023","145.440","144.495","145.845","144.315","","0.76%"
"04/03/2023","144.350","143.725","144.770","142.765","","0.59%"
"03/31/2023","143.510","144.175","144.560","143.585","","-0.34%"
"03/30/2023","144.000","143.245","144.525","142.950","","0.61%"
"03/29/2023","143.130","142.935","143.730","142.520","","0.23%"
"03/28/2023","142.800","142.045","143.000","142.000","","0.63%"
"03/27/2023","141.910","141.470","142.080","141.255","","0.45%"
"03/24/2023","141.270","142.185","142.380","140.770","","-0.58%"
"03/23/2023","142.090","142.105","143.390","142.100","","0.08%"
"03/22/2023","141.980","140.515","142.860","140.340","","1.12%"
"03/21/2023","140.410","139.395","140.960","139.145","","0.83%"
"03/20/2023","139.250","139.060","139.830","138.320","","0.51%"
"03/17/2023","138.550","137.705","138.930","137.650","","0.73%"
"03/16/2023","137.550","137.295","138.385","136.940","","0.28%"
"03/15/2023","137.160","138.995","139.655","136.495","","-1.23%"
"03/14/2023","138.870","138.960","139.315","138.290","","0.03%"
"03/13/2023","138.830","137.975","139.350","137.920","","0.73%"
"03/10/2023","137.830","136.140","138.695","136.085","","1.34%"
"03/09/2023","136.010","135.400","136.670","135.305","","0.54%"
"03/08/2023","135.280","135.510","135.870","134.985","","-0.07%"
"03/07/2023","135.370","136.815","137.495","135.455","","-0.96%"
"03/06/2023","136.680","135.500","137.000","135.450","","0.83%"
"03/03/2023","135.560","135.020","136.015","134.885","","0.50%"
"03/02/2023","134.890","135.690","136.050","134.735","","-0.51%"
"03/01/2023","135.580","134.260","136.060","134.120","","1.06%"
"02/28/2023","134.160","134.580","135.265","133.985","","-0.25%"
"02/27/2023","134.500","133.505","134.775","133.025","","0.78%"
"02/24/2023","133.460","133.840","134.435","133.435","","-0.19%"
"02/23/2023","133.710","133.710","134.500","133.585","","0.10%"
"02/22/2023","133.570","134.190","134.745","133.645","","-0.39%"
"02/21/2023","134.090","134.750","134.855","134.065","","-0.37%"
"02/20/2023","134.590","134.240","134.990","134.045","","0.28%"
"02/17/2023","134.210","134.120","134.380","133.355","","0.20%"
"02/16/2023","133.940","134.160","134.740","133.870","","-0.07%"
"02/15/2023","134.040","134.330","134.815","133.780","","-0.11%"
"02/14/2023","134.190","134.295","135.170","133.935","","0.01%"
"02/13/2023","134.170","133.700","134.400","133.360","","0.45%"
"02/10/2023","133.570","134.440","134.745","133.535","","-0.55%"
"02/09/2023","134.310","133.890","135.130","133.860","","0.41%"
"02/08/2023","133.760","133.970","134.555","133.765","","-0.07%"
"02/07/2023","133.860","133.980","134.495","133.230","","-0.04%"
"02/06/2023","133.910","134.605","134.855","133.760","","-0.46%"
"02/03/2023","134.530","135.875","136.500","134.625","","-0.91%"
"02/02/2023","135.770","136.825","137.425","135.575","","-0.68%"
"02/01/2023","136.700","135.255","136.970","135.100","","1.17%"
"01/31/2023","135.120","135.030","135.400","134.460","","0.20%"
"01/30/2023","134.850","135.280","135.830","134.885","","-0.17%"
"01/27/2023","135.080","135.445","135.580","134.805","","-0.16%"
"01/26/2023","135.300","135.590","135.970","134.915","","-0.12%"
"01/25/2023","135.460","135.320","135.695","134.850","73.32K","0.25%"
"01/24/2023","135.120","134.975","135.445","134.665","69.98K","0.22%"
"01/23/2023","134.820","134.775","135.665","134.645","72.17K","0.17%"
"01/20/2023","134.590","134.385","134.880","134.085","77.72K","0.29%"
"01/19/2023","134.200","133.850","134.570","133.745","103.11K","0.32%"
"01/18/2023","133.770","133.740","135.070","133.360","110.07K","0.12%"
"01/17/2023","133.610","134.085","134.730","133.550","109.18K","-0.22%"
"01/16/2023","133.900","134.180","134.680","133.880","66.72K","-0.07%"
