"Date","Price","Open","High","Low","Vol.","Change %"
"11/07/2018","133.557","133.277","134.334","133.186","","0.21%"
"11/06/2018","133.282","132.507","133.453","132.280","","0.60%"
"11/05/2018","132.486","132.099","132.659","131.588","","0.72%"
"11/02/2018","131.541","132.447","132.606","131.313","","-0.70%"
"11/01/2018","132.467","130.341","132.581","130.065","","1.63%"
"10/31/2018","130.346","129.479","131.015","129.235","","0.67%"
"10/30/2018","129.479","130.233","130.532","129.367","","-0.58%"
"10/29/2018","130.233","129.943","130.845","129.841","","0.18%"
"10/26/2018","130.003","129.708","130.095","129.270","","0.23%"
"10/25/2018","129.708","130.381","130.870","129.371","","-0.50%"
"10/24/2018","130.356","131.258","131.414","130.209","","-0.69%"
"10/23/2018","131.258","130.952","131.995","130.788","","0.26%"
"10/22/2018","130.921","131.982","132.373","130.916","","-0.83%"
"10/19/2018","132.022","131.547","132.361","131.196","","0.36%"
"10/18/2018","131.547","132.381","132.770","131.522","","-0.64%"
"10/17/2018","132.396","133.006","133.224","132.048","","-0.49%"
"10/16/2018","133.052","132.577","133.807","132.471","","0.36%"
"10/15/2018","132.577","132.517","133.042","131.902","","-0.07%"
"10/12/2018","132.673","133.546","133.829","132.466","","-0.65%"
"10/11/2018","133.536","133.270","133.836","132.986","","0.20%"
"10/10/2018","133.275","132.552","133.497","132.456","","0.54%"
"10/09/2018","132.557","132.013","132.633","131.428","","0.41%"
"10/08/2018","132.013","132.194","132.719","131.403","","-0.26%"
"10/05/2018","132.351","131.442","132.376","131.195","","0.69%"
"10/04/2018","131.447","130.450","131.659","130.370","","0.78%"
"10/03/2018","130.435","130.893","131.450","130.269","","-0.35%"
"10/02/2018","130.893","131.609","131.870","130.602","","-0.54%"
"10/01/2018","131.604","131.358","132.366","131.287","","0.19%"
"09/28/2018","131.348","132.128","132.244","131.070","","-0.58%"
"09/27/2018","132.113","132.885","133.184","132.053","","-0.55%"
"09/26/2018","132.850","133.224","133.380","132.557","","-0.22%"
"09/25/2018","133.148","132.527","133.270","132.247","","0.47%"
"09/24/2018","132.527","131.927","133.163","131.726","","0.39%"
"09/21/2018","132.017","133.747","133.852","131.725","","-1.28%"
"09/20/2018","133.731","132.497","134.054","132.396","","0.94%"
"09/19/2018","132.492","132.537","133.365","131.998","","-0.03%"
"09/18/2018","132.537","132.774","132.850","132.255","","-0.17%"
"09/17/2018","132.769","131.911","132.855","131.801","","0.65%"
"09/14/2018","131.906","132.648","132.992","131.800","","-0.56%"
"09/13/2018","132.643","131.584","132.820","131.318","","0.80%"
